Student_ID,Name,Gender,Age,Department,Program,Year,Semester,Attendance,Assignment,CAT,FinalExam,StudyHours,InternetAccess,Device,ParentIncome,Scholarship,SkillsCount,Projects,LMSLogins,LibraryVisits,Location,Graduated,Placement,GPA,Total,Grade
S00001,Student_1,M,32,IT,MSc,2,2,80,69,90,53,2,No,Laptop,119944,Yes,10,8,21,44,Mombasa,Yes,No,2.6499999999999999,66.299999999999997,B
S00002,Student_2,M,19,AI,MSc,4,2,51,96,68,87,2,Yes,Laptop,62231,No,6,1,175,59,Eldoret,Yes,Yes,3.2599999999999998,81.400000000000006,A
S00003,Student_3,M,22,AI,BSc,4,2,47,69,36,71,8,No,Laptop,295472,No,11,1,138,19,Mombasa,Yes,No,2.4500000000000002,61.200000000000003,B
S00004,Student_4,F,35,AI,MSc,1,2,49,95,50,75,6,Yes,Desktop,160744,No,11,4,140,52,Nairobi,Yes,Yes,2.8599999999999999,71.400000000000006,A
S00005,Student_5,M,33,AI,MSc,1,2,75,31,92,88,3,Yes,Desktop,156240,Yes,8,0,195,23,Nakuru,Yes,Yes,3.04,76.099999999999994,A
S00006,Student_6,M,27,IT,MSc,4,1,91,30,41,80,1,No,Tablet,93102,Yes,8,3,44,53,Nakuru,Yes,No,2.5299999999999998,63.299999999999997,B
S00007,Student_7,F,34,AI,MSc,2,2,57,64,99,96,1,Yes,Tablet,149653,Yes,0,6,21,12,Eldoret,Yes,Yes,3.4500000000000002,86.299999999999997,A
S00008,Student_8,M,22,CS,BSc,2,1,93,94,53,83,9,No,Desktop,90697,No,13,2,48,51,Kisumu,Yes,Yes,3.21,80.200000000000003,A
S00009,Student_9,F,22,DS,BSc,2,1,63,51,88,62,6,Yes,Desktop,246863,No,8,0,31,31,Nakuru,No,No,2.6000000000000001,65.099999999999994,B
S00010,Student_10,F,33,CS,MSc,4,2,40,56,77,85,11,No,Tablet,165767,No,8,5,161,54,Nairobi,Yes,Yes,2.9199999999999999,73.099999999999994,A
S00011,Student_11,F,23,SE,MSc,4,1,48,55,68,26,6,Yes,Tablet,294246,No,3,7,118,54,Nairobi,No,No,1.7,42.399999999999999,D
S00012,Student_12,M,27,AI,MSc,1,2,62,68,43,41,5,No,Desktop,284026,Yes,0,3,32,10,Eldoret,Yes,No,1.96,48.899999999999999,D
S00013,Student_13,F,19,SE,MSc,1,1,75,57,75,93,8,No,Desktop,32738,Yes,0,8,149,19,Nakuru,Yes,Yes,3.2200000000000002,80.400000000000006,A
S00014,Student_14,F,33,AI,MSc,3,1,89,77,25,73,10,No,Tablet,193617,Yes,6,6,26,46,Eldoret,Yes,No,2.6299999999999999,65.799999999999997,B
S00015,Student_15,M,28,DS,MSc,3,2,57,31,71,66,12,No,Desktop,284649,Yes,9,0,40,60,Mombasa,Yes,No,2.3599999999999999,59.100000000000001,C
S00016,Student_16,F,21,DS,BSc,1,1,60,80,27,73,11,Yes,Tablet,66146,Yes,12,0,150,24,Nakuru,Yes,No,2.5600000000000001,63.899999999999999,B
S00017,Student_17,F,25,IT,BSc,3,1,42,91,73,38,6,No,Tablet,134472,Yes,2,8,107,18,Kisumu,Yes,No,2.2400000000000002,56,C
S00018,Student_18,M,29,DS,BSc,4,2,91,84,73,78,1,No,Tablet,29683,No,0,7,29,12,Nairobi,No,No,3.1800000000000002,79.5,A
S00019,Student_19,F,30,CS,MSc,3,1,59,50,82,55,4,No,Desktop,53191,No,3,6,139,38,Kisumu,Yes,No,2.3900000000000001,59.799999999999997,C
S00020,Student_20,M,26,DS,MSc,1,2,72,36,79,79,11,No,Desktop,169907,No,6,5,156,46,Kisumu,Yes,No,2.79,69.700000000000003,B
S00021,Student_21,M,28,DS,BSc,1,2,77,85,94,71,3,Yes,Desktop,290957,No,2,0,70,6,Mombasa,Yes,Yes,3.1600000000000001,79,A
S00022,Student_22,M,32,CS,BSc,3,2,81,77,33,32,12,Yes,Laptop,34185,No,4,3,59,15,Nakuru,Yes,No,1.8400000000000001,46.100000000000001,D
S00023,Student_23,F,30,SE,BSc,2,1,77,85,64,24,6,Yes,Tablet,70520,Yes,3,4,129,56,Eldoret,Yes,No,1.98,49.5,D
S00024,Student_24,F,24,SE,MSc,3,2,85,33,100,97,1,No,Desktop,75262,Yes,12,7,91,14,Mombasa,Yes,Yes,3.3399999999999999,83.599999999999994,A
S00025,Student_25,F,25,CS,BSc,4,2,78,52,78,56,2,No,Desktop,164989,No,3,3,53,17,Kisumu,Yes,No,2.4700000000000002,61.799999999999997,B
S00026,Student_26,M,34,DS,MSc,4,1,79,76,97,26,6,No,Tablet,289644,Yes,9,8,190,10,Nairobi,Yes,No,2.2200000000000002,55.5,C
S00027,Student_27,F,24,AI,MSc,1,2,48,40,25,88,12,No,Desktop,190030,No,5,6,51,18,Nairobi,Yes,No,2.4700000000000002,61.799999999999997,B
